www.test1.com 1020
www.test2.com 20
www.test3.com 105
www.test4.com 75
www.apple.com 771
www.microsoft.com 321
www.goodreads.com 311
www.geeksforgeeks.com 318
www.twitter.com 316
www.instagram.com 229
www.anghami.org 249
www.netflix.com 334
www.auc.com 444
www.guc.com 444
www.wikipedia.com 555
www.youtube.com 559
www.chef.com 677
www.blackboard.com 777
www.fifa.com 779
www.samsung.com 889
www.cocacola.com 889
www.facebook.com 896
www.grammarly.com 776
www.dictionary.com 999
www.calvinklein.com 1001
www.booking.com 1000
www.webassign.com 999
www.turnitin.com 433
www.desmos.com 322
www.discord.com 121
www.whatsapp.com 667
